UNITNAME,code,colour
Candlow Formation/3,PLcf/3,#c7bfa6
Candlow Formation/3?,PLcf/3?,#c7bfa6
Candover beds/b,PLcd/b,#a84c40
Candover beds/b?,PLcd/b?,#a84c40
Candover beds/s,PLcd/s,#ffa396
Candover beds/sa,PLcd/sa,#db8073
Candover beds/v,PLcd/v,#c26659
Cannibal Creek Granite/3,Pgc/3,#f57a7a
Cannibal Creek Granite/a,Pgc/a,#e68080
Cannibal Creek Granite/c,Pgc/c,#d96666
Canyon Dacite,Cna,#e0e0e0
Canyon Dacite/1,Cna/1,#c2c2c2
Cape River Metamorphics,PLEc,#a6704c
Cape River Metamorphics/a,PLEc/a,#996640
Cape River Metamorphics/c,PLEc/c,#966340
Cape River Metamorphics/m,PLEc/m,#d9b38c
"Cape River Metamorphics/m,Bombarri Granodiorite","PLEc/m,Ogbb",#d9b38c
Cape River Metamorphics/m?,PLEc/m?,#d9b38c
Cape River Metamorphics/s,PLEc/s,#c99673
Cape River Metamorphics/sa,PLEc/sa,#734019
Cape River Metamorphics/sa?,PLEc/sa?,#734019
Cape River Metamorphics/sm,PLEc/sm,#f2cca6
Cape River Metamorphics/x,PLEc/x,#8c5933
Cape River Metamorphics/y,PLEc/y,#ba8761
