X,Y,Z,azimuth,dip,polarity,formation,source
528282.66507783,7490023.764053185,454.0507658418951,181.9467832329244,90.0,0,Bunjinah_Formation,contact_orientations
525448.755434345,7490823.739333085,546.0001871462705,324.62262978717024,35.43097860302521,1,Bunjinah_Formation,contact_orientations
529465.98151649,7491756.53420103,535.030673885192,29.73255197198216,30.387667080289127,1,Bunjinah_Formation,contact_orientations
549875.2348848099,7490359.725166345,563.515566000709,156.751089012335,68.26589978427148,1,Woongarra_Rhyolite,contact_orientations
539978.049360485,7509933.1756467,639.7338122548592,242.0725424531197,3.602408888766604,1,Weeli_Wolli_Formation,contact_orientations
540506.896457065,7508121.414860615,645.8933151505472,268.1212052538121,4.831028787906845,1,Weeli_Wolli_Formation,contact_orientations
537637.2802041951,7505846.915162301,625.9077567869429,348.99513671480304,26.308392359185547,1,Weeli_Wolli_Formation,contact_orientations
533815.490857695,7504841.883651394,624.0346131095546,322.997045505928,9.150467588426023,1,Weeli_Wolli_Formation,contact_orientations
531085.822018183,7503424.192092359,597.7935991755684,10.324051466545823,21.336236445301594,1,Weeli_Wolli_Formation,contact_orientations
528013.059679545,7502708.314622914,553.6550656044835,355.173142176513,35.21753569873859,1,Weeli_Wolli_Formation,contact_orientations
524770.165104405,7502329.020945745,568.6875991927562,350.8585439428725,46.18323834687085,1,Weeli_Wolli_Formation,contact_orientations
520535.5074258599,7501717.9229772575,542.6370235268021,357.13358514408736,45.91042155134362,1,Weeli_Wolli_Formation,contact_orientations
520576.7170702291,7508967.097997551,637.7933331823255,171.74192808582382,44.97819546050965,1,Weeli_Wolli_Formation,contact_orientations
523371.39537977,7509280.039513615,612.9025367983513,170.35624818652286,12.728261961250098,1,Weeli_Wolli_Formation,contact_orientations
527494.431095485,7510052.360472815,594.6160371427604,164.6795149213715,7.086770899882993,1,Weeli_Wolli_Formation,contact_orientations
531607.41454589,7511414.219140625,626.1519683839156,166.80458525835184,11.902746625278752,1,Weeli_Wolli_Formation,contact_orientations
533670.3801115949,7512287.22585948,681.4835468866103,172.9311419350239,9.378509000339337,1,Weeli_Wolli_Formation,contact_orientations
537716.84011105,7511863.950407146,660.2118628229935,204.04035825072083,1.294552208890991,1,Weeli_Wolli_Formation,contact_orientations
523348.014753885,7510544.29006613,563.6027937276513,180.0780794278246,2.681738001745032,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation,contact_orientations
525905.729553915,7512233.33290216,597.6799315638507,160.8867904471632,13.981244169729052,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation,contact_orientations
529124.460328935,7513212.430727705,646.463686287329,147.80490057928245,21.51573319031988,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation,contact_orientations
529638.490253345,7514742.198478195,640.183010674721,132.76659303144532,29.405464089420207,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation,contact_orientations
546819.78917686,7515427.404539365,734.3850229540499,221.7389420925176,12.417573136322105,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation,contact_orientations
545069.826392355,7514423.909621825,768.9356807507826,334.9620852783199,20.320621407967494,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation,contact_orientations
544213.159847345,7511939.64983928,660.7657463929764,324.36673149701903,14.115370308114151,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation,contact_orientations
543429.96589607,7510617.90586046,681.3659173381166,281.8326325583414,17.699449470555933,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation,contact_orientations
542744.5905909699,7508403.153483225,645.4082927999395,294.9724052563422,17.182054504029836,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation,contact_orientations
541826.734400635,7505881.906309925,641.2858283922507,317.20568455116427,10.523251705476582,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation,contact_orientations
538388.0117085751,7503813.90124703,639.8571405838987,335.0370129045592,27.4784606082582,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation,contact_orientations
536136.29073829,7503385.3913690895,616.2263562435155,321.4115613296916,18.971557159020207,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation,contact_orientations
533884.56980782,7501782.365000375,696.7592491670463,349.2292205148494,10.24318014250224,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation,contact_orientations
541264.05612271,7491364.89545843,564.2522451344855,146.2699053673353,31.087241126996247,1,Marra_Mamba_Iron_Formation,contact_orientations
542328.4601832904,7491471.132702978,568.2807801291171,164.11977198658371,30.37005726897641,1,Marra_Mamba_Iron_Formation,contact_orientations
542839.595185685,7492355.6540844,537.6470837948646,119.4865503095658,23.66495667890601,1,Marra_Mamba_Iron_Formation,contact_orientations
544244.2440136899,7492860.410425235,554.355857095911,141.48928985233226,14.994750639027984,1,Marra_Mamba_Iron_Formation,contact_orientations
545833.57613281,7493411.66058786,555.2306837080383,181.1991352852133,12.223134758670142,1,Marra_Mamba_Iron_Formation,contact_orientations
548503.890789505,7493269.934679154,546.4484365318112,166.98580715593596,48.17331929630677,1,Marra_Mamba_Iron_Formation,contact_orientations
550332.2299999951,7493940.955663765,567.7612189674044,164.486515806728,61.90406968054938,1,Marra_Mamba_Iron_Formation,contact_orientations
546926.295393015,7490640.943652965,617.0151539131442,158.88057011312378,53.47225410305185,1,Weeli_Wolli_Formation,contact_orientations
550254.604637365,7491330.970089855,612.2098910473867,173.42037959587572,68.91553832392496,1,Weeli_Wolli_Formation,contact_orientations
550775.76079151,7490271.89894948,566.0430488745379,173.37164606415695,70.31583893223113,1,Boolgeeda_Iron_Formation,contact_orientations
542664.443197394,7490552.257688791,613.6602748108592,151.92687979009486,36.04874490020762,1,Brockman_Iron_Formation,contact_orientations
544026.970432885,7491314.915487045,633.1823309335542,136.04271316174942,30.95825545324618,1,Brockman_Iron_Formation,contact_orientations
544932.2007127,7491702.909918185,630.7583195287813,146.69057952763228,33.260245783147695,1,Brockman_Iron_Formation,contact_orientations
547164.7438898401,7492417.434595564,603.2347069108553,186.31153668614024,44.65501010838989,1,Brockman_Iron_Formation,contact_orientations
549635.434485585,7492491.95423555,604.7777843965372,167.27511810898227,65.6704598647996,1,Brockman_Iron_Formation,contact_orientations
551638.81363276,7492920.53274309,636.7792132189214,181.642551927545,69.12963337011429,1,Brockman_Iron_Formation,contact_orientations
541302.175639445,7490693.151349145,653.390263095566,145.6105688631892,34.84915230372528,1,Wittenoom_Formation,contact_orientations
542524.347217218,7491087.760196681,591.5404859573397,171.10593894489682,32.82523553382532,1,Wittenoom_Formation,contact_orientations
543123.31095177,7491847.90650611,603.9659991971048,108.41310567839446,26.89525942929373,1,Wittenoom_Formation,contact_orientations
544238.128957815,7492249.41017384,606.4862019799215,140.1298079003268,20.87255923863964,1,Wittenoom_Formation,contact_orientations
546356.50004214,7493058.92059762,584.5075898931517,180.23191032256892,25.229505689172925,1,Wittenoom_Formation,contact_orientations
548354.744484535,7492678.941418905,567.312965130217,178.56939619919604,55.7250978260262,1,Wittenoom_Formation,contact_orientations
550574.23391728,7493344.715451689,625.412650560568,157.35898838805088,65.84555237865231,1,Wittenoom_Formation,contact_orientations
